ChemicalName,CASNumber
".ALPHA.-L-XYLO-2-HEXULOFURANOSONIC ACID, 2,3:4,6-BIS-O-(1-METHYLETHYLIDENE)-, SODIUM SALT",52508-35-7
".BETA.-D-ALLOFURANURONIC ACID, 5-[[2-AMINO-5-O-(AMINOCARBONYL)-2-DEOXY-L-XYLONOYL]AMINO]-1-(5-CARBOXY-3,4-DIHYDRO-2,4-DI...",146659-78-1
ABAMECTIN,71751-41-2
ABSOLUE ORANGE FLOWER,8008-57-9
AC 263222 (CADRE HERBICIDE),81334-60-3
ACACIA MOLLISSIMA TANNIN,1401-55-4
ACEITE DE LINAZA,8001-26-1
ACEITE DE PINO,2228957
ACEPHATE,30560-19-1
"ACETALDEHYDE, (3,3-DIMETHYLCYCLOHEXYLIDENE)-, (E)-",26532-25-2
"ACETALDEHYDE, (3,3-DIMETHYLCYCLOHEXYLIDENE)-, (Z)-",26532-24-1
"ACETAMIDE, N-[2,4-DIMETHYL-5-[[(TRIFLUOROMETHYL)SULFONYL]AMINO]PHENYL]-",53780-34-0
"ACETAMIDE, N-[2,4-DIMETHYL-5-[[(TRIFLUOROMETHYL)SULFONYL]AMINO]PHENYL]-, MONOPOTASSIUM SALT",83601-83-6
ACETAMINOPHEN,103-90-2
ACETIC ACID,64-19-7
"ACETIC ACID, (2,4,5-TRICHLOROPHENOXY)-, 1-METHYLETHYL ESTER",93-78-7
"ACETIC ACID, (2,4,5-TRICHLOROPHENOXY)-, 2-BUTOXYETHYL ESTER",2545-59-7
"ACETIC ACID, (2,4,5-TRICHLOROPHENOXY)-, 2-ETHYL-4-METHYLPENTYL ESTER",69462-12-0
"ACETIC ACID, (2,4,5-TRICHLOROPHENOXY)-, 2-ETHYLHEXYL ESTER",1928-47-8
"ACETIC ACID, (2,4,5-TRICHLOROPHENOXY)-, COMPD. WITH 2-(DIETHYLAMINO)ETHANOL (1:1)",53404-86-7
"ACETIC ACID, (2,4,5-TRICHLOROPHENOXY)-, PENTYL ESTER",120-39-8
"ACETIC ACID, (2,4-DICHLOROPHENOXY)-, 2-METHYLPROPYL ESTER",1713-15-1
"ACETIC ACID, (2,4-DICHLOROPHENOXY)-, AMMONIUM SALT",2307-55-3
"ACETIC ACID, (2,4-DICHLOROPHENOXY)-, COMPD. WITH 1,1',1""-NITRILOTRIS(2-PROPANOL) (1:1)",32341-80-3
"ACETIC ACID, (2,4-DICHLOROPHENOXY)-, COMPD. WITH 1,1',1''-NITRILOTRIS[2-PROPANOL] (1:1)",18584-79-7
"ACETIC ACID, (2,4-DICHLOROPHENOXY)-, COMPD. WITH 1-DODECANAMINE (1:1)",2212-54-6
"ACETIC ACID, (2,4-DICHLOROPHENOXY)-, COMPD. WITH 1-TETRADECANAMINE (1:1)",28685-18-9
"ACETIC ACID, (2,4-DICHLOROPHENOXY)-, COMPD. WITH 2,2',2''-NITRILOTRIS[ETHANOL] (1:1)",244358
"ACETIC ACID, (2,4-DICHLOROPHENOXY)-, COMPD. WITH 2,2'-IMINOBIS[ETHANOL] (1:1)",5742-19-8
"ACETIC ACID, (2,4-DICHLOROPHENOXY)-, COMPD. WITH 2-AMINOETHANOL (1:1)",3599-58-4
"ACETIC ACID, (2,4-DICHLOROPHENOXY)-, COMPD. WITH 2-PROPANAMINE (1:1)",5742-17-6
"ACETIC ACID, (2,4-DICHLOROPHENOXY)-, COMPD. WITH N,N-DIETHYLETHANAMINE (1:1)",2646-78-8
"ACETIC ACID, (2,4-DICHLOROPHENOXY)-, COMPD. WITH N-ETHYLETHANAMINE (1:1)",20940-37-8
"ACETIC ACID, (2,4-DICHLOROPHENOXY)-, COMPD. WITH N-METHYLMETHANAMINE (1:1)",2008-39-1
"ACETIC ACID, (2,4-DICHLOROPHENOXY)-, LITHIUM SALT",3766-27-6
"ACETIC ACID, (2,4-DICHLOROPHENOXY)-, POTASSIUM SALT",14214-89-2
"ACETIC ACID, (4-CHLORO-2-METHYLPHENOXY)-, COMPD. WITH N-METHYLMETHANAMINE (1:1)",2039-46-5
"ACETIC ACID, (4-CHLORO-2-METHYLPHENOXY)-, ISOOCTYL ESTER",26544-20-7
"ACETIC ACID, BROMO-, 2-BUTENE-1,4-DIYL ESTER",20679-58-7
"ACETIC ACID, NITRILOTRI-, TRISODIUM SALT",5064-31-3
"ACETIC ACID, SODIUM SALT (2:1)",126-96-5
"ACETIC ACID, TRICHLORO-, SODIUM SALT",650-51-1
"ACETIC ACID, [(3,5,6-TRICHLORO-2-PYRIDINYL)OXY]-, 2-BUTOXYETHYL ESTER",64700-56-7
ACETOCHLOR,34256-82-1
ACETONE,67-64-1
ACETYLSALICYLIC ACID,50-78-2
ACIBENZOLAR-S-METHYL,135158-54-2
"ACID BLUE 9,DIAMMONIUM SALT",2650-18-2
ACIDULATED COCONUT SOAPSTOCK,8001-31-8
ACIDULATED SOYBEAN SOAPSTOCK,8001-22-7
"ACIFLUORFEN, SODIUM SALT",62476-59-9
ACROLEIN,107-02-8
ACRYLONITRILE,107-13-1
ACTOCOL 51-530,25322-69-4
ADEPS LANE,8006-54-0
"1,1'-AETHYLEN-2,2'-BIPYRIDINIUM-DIBROMID",85-00-7
AKYPOSAL ALS 33,2235-54-3
AKYPOSAL TLS,139-96-8
ALACHLOR,15972-60-8
"ALCOHOLS, C11-15, ETHOXYLATED, COMPDS. WITH IODINE",68439-47-4
"ALCOHOLS, C11-15-SECONDARY, ETHOXYLATED",68131-40-8
"ALCOHOLS, C8-10",85566-12-7
ALDICARB,116-06-3
ALDRIN,309-00-2
"ALKENES, C14-16 ALPHA-, SULFONATED, SODIUM SALTS",68439-57-6
ALKYL DIMETHYLBENZYL AMMONIUM CHLORIDE,8001-54-5
ALKYL PYRIDINES,68391-11-7
ALKYL(C12-16)DIMETHYLBENZYLAMMONIUM CHLORIDE,68424-85-1
ALLETHRIN,584-79-2
ALLYL ALCOHOL,107-18-6
ALLYL ISOTHIOCYANATE,57-06-7
1-ALLYL-4-METHOXYBENZENE,140-67-0
ALMOND ARTIFICIAL ESSENTIAL OIL,100-52-7
"ALPHA,ALPHA'-((9-OCTADECENYLIMINO)DI-2,1-ETHANEDIYL)BIS(OMEGA-HYD- ROXYPOLY(OXY-1,2-ETHANEDIYL)-, (Z)-",26635-93-8
"ALPHA,ALPHA,ALPHA-TRIFLUORO-3'-ISOPROPOXY-O-TOLUANILIDE",66332-96-5
ALPHA-METOLACHLOR,87392-12-9
ALUMINUM,7429-90-5
ALUMINUM CHLORIDE,7446-70-0
ALUMINUM PHOSPHIDE,20859-73-8
ALUMINUM SULFATE,10043-01-3
AMETRYN,834-12-8
"AMIDES, C12-18, N,N-BIS(HYDROXYETHYL)",68155-06-6
"AMIDES, COCO, N-(2-HYDROXYETHYL)-",68140-00-1
"AMIDES, SOYA, N,N-BIS(HYDROXYETHYL)",68425-47-8
"AMINES, COCO ALKYL, ACETATES",61790-57-6
"AMINES, COCO ALKYL, HYDROCHLORIDES",91745-52-7
"AMINES, N-C12-18-ALKYLTRIMETHYLENEDI-",68155-37-3
"AMINES, N-COCO ALKYLTRIMETHYLENEDI-",61791-63-7
"AMINES, N-COCO ALKYLTRIMETHYLENEDI-, ACETATES",61791-64-8
"AMINES, N-COCO ALKYLTRIMETHYLENEDI-, ADIPATES",68155-42-0
"AMINES, N-COCO ALKYLTRIMETHYLENEDI-, GLYCOLATES",68155-43-1
"AMINES, TALL-OIL ALKYL, (2,4-DICHLOROPHENOXY)ACETATES",137335-70-7
2-AMINO-4-(HYDROXYMETHYLPHOSPHINYL)BUTANOIC ACID MONOAMMONIUM SALT,77182-82-2
4-AMINO-BENZOLSULFONYL-METHYLCARBAMAT,3337-71-1
AMINOCARB,2032-59-9
2-AMINOETHANOL,141-43-5
AMITRAZ,33089-61-1
AMITROLE,61-82-5
AMMATE,7773-06-0
AMMONIA,7664-41-7
AMMONIUM CARBONATE,506-87-6
AMMONIUM HYDROXIDE,1336-21-6
AMMONIUM OLEATE,544-60-5
AMMONIUM SILICOFLUORIDE,16919-19-0
AMMONIUM SULFATE,7783-20-2
AMMONIUM THIOSULFATE,7783-18-8
AMYL ACETATE,628-63-7
ANCYMIDOL,12771-68-5
ANHIDRIDO BUTIRICO,106-31-0
ANILAZINE,101-05-3
"9,10-ANTHRACENEDIONE",84-65-1
ANTIMONY POTASSIUM TARTRATE,28300-74-5
ANTIMYCIN A,1397-94-0
ANTU,86-88-4
APPLE ACID,6915-15-7
ARAMITE,140-57-8
ARIEN,64742-16-1
"AROMATIC NAPHTHA, TYPE I",64742-95-6
AROMATIC PETROLEUM DERIVATIVE SOLVENT,68477-31-6
ARQUAD 2C,61789-77-3
ARSENIC ACID,7778-39-4
"ARSENIC ACID (H3ASO4), MONOAMMONIUM SALT",13462-93-6
"ARSENIC AS ELEMENTAL, PRESENT AS DODECYL AND OCTYL AMMONIUM METHYL ARSENATES",6379-37-9
ARSENIC OXIDE (3),1327-53-3
ARSENIC PENTOXIDE,1303-28-2
"ARSONIC ACID, METHYL-, CALCIUM SALT (2:1)",5902-95-4
ASBESTOS (FRIABLE),1332-21-4
ASPHALT (PETROLEUM) FUMES,8052-42-4
ASPON (NPD),3244-90-4
ATRAZINE,1912-24-9
AURAMINE,492-80-8
AZACOSTEROL,1249-84-9
AZADIRACHTIN,11141-17-6
AZINPHOS-ETHYL,2642-71-9
AZINPHOS-METHYL,86-50-0
AZODRIN,6923-22-4
AZOXYSTROBIN,131860-33-8
BACILLUS THURINGIENSIS (BERLINER),68038-71-1
BARBAN,101-27-9
BARIUM CARBONATE,513-77-9
BARIUM METABORATE,13701-59-2
BASIC COPPER SULFATE,1344-73-6
BASIC VIOLET 3,548-62-9
BENDIOCARB,22781-23-3
BENFLURALIN,1861-40-1
BENOMYL,17804-35-2
BENSULFURON METHYL,83055-99-6
BENSULIDE,741-58-2
BENZADOX,5251-79-6
"BENZAMIDE, 5-BROMO-N-(4-BROMOPHENYL)-2-HYDROXY-",87-12-7
"BENZAMIDE, N-[[[3,5-DICHLORO-4-(1,1,2,2-TETRAFLUOROETHOXY) PHENYL]AMINO]CARBONYL]-2,6-DIFLUORO-",86479-06-3
BENZENE,71-43-2
"BENZENE, (2-BROMO-2-NITROETHENYL)-",7166-19-0
"BENZENE, 1,2,4-TRIMETHOXY-",135-77-3
"BENZENE, 1-[(DIIODOMETHYL)SULFONYL]-4-METHYL-",20018-09-1
"1,2-BENZENEDICARBOXALDEHYDE",643-79-8
"BENZENEDIMETHANAMINIUM, AR-DODECYL-AR,N,N,N,N',N',N'-HEPTAMETHYL-, DICHLORIDE, MIXT. WITH AR-DODECYL-AR,N,N,N-TETRAMETHYLBENZENEMETHANAMINIU",1399-80-0
"BENZENEMETHANAMINIUM, AR-DODECYL-N,N,N-TRIMETHYL-, CHLORIDE",1330-85-4
"BENZENEMETHANAMINIUM, N,N-DIMETHYL-N-TETRADECYL-, CHLORIDE",139-08-2
"BENZENEMETHANAMINIUM, N,N-DIMETHYL-N-[2-[2-[METHYL-4-(1,1,3,3-TETRAMETHYLBUTYL)PHENOXY]ETHOXY]ETHYL]-, CHLORIDE",25155-18-4
"BENZENEMETHANAMINIUM, N-[2-[(2,6-DIMETHYLPHENYL)AMINO]-2-OXOETHYL]-N,N-DIETHYL-, SALT WITH 1,2-BENZISOTHIAZOL-3(2H)-ONE 1,1-DIOXIDE (1:1)",90823-38-4
"BENZENEMETHANOL, 4-CHLORO-.ALPHA.-(4-CHLOROPHENYL)-.ALPHA.-METHYL-",80-06-8
"BENZENESULFONIC ACID, DECYL(SULFOPHENOXY)-, DISODIUM SALT",36445-71-3
"BENZENESULFONIC ACID, DIMETHYL-, SODIUM SALT",1300-72-7
"BENZENESULFONIC ACID, DODECYL-, POTASSIUM SALT",27177-77-1
"BENZENESULFONIC ACID, METHYL-, SODIUM SALT",12068-03-0
BENZETHONIUM CHLORIDE,121-54-0
BENZINE,8032-32-4
"1,2-BENZISOTHIAZOLIN-3-ONE",2634-33-5
BENZOCAINE,94-09-7
BENZOIC ACID,65-85-0
"BENZOIC ACID, 2,3,6-TRICHLORO-",50-31-7
"BENZOIC ACID, 3,6-DICHLORO-2-METHOXY-, COMPD. WITH 2,2'-IMINOBIS[ETHANOL] (1:1)",25059-78-3
"BENZOIC ACID, 3,6-DICHLORO-2-METHOXY-, COMPD. WITH 2-(2-AMINOETHOXY)ETHANOL (1:1)",104040-79-1
"BENZOIC ACID, 3,6-DICHLORO-2-METHOXY-, COMPD. WITH 2-AMINOETHANOL (1:1)",53404-28-7
"BENZOIC ACID, 3,6-DICHLORO-2-METHOXY-, COMPD. WITH 2-PROPANAMINE (1:1)",55871-02-8
"BENZOIC ACID, 3,6-DICHLORO-2-METHOXY-, POTASSIUM SALT",10007-85-9
"BENZOIC ACID, PHENYLMETHYL ESTER",120-51-4
"1,4-BENZOQUINONE, 2,3,5,6-TETRACHLORO-",118-75-2
"2,2'-BENZOTHIAZYL DISULFIDE",120-78-5
BENZYL ALCOHOL,100-51-6
BENZYL BROMOACETATE,5437-45-6
BENZYLADENINE,1214-39-7
"BICYCLO(2.2.1)HEPTAN-2-OL, 1,7,7-TRIMETHYL-, ACETATE, EXO-",125-12-2
BIDRIN,141-66-2
BIFENAZATE,149877-41-8
BIFENOX,42576-02-3
BIFENTHRIN,82657-04-3
BIOBAN-C,4075-81-4
BIOBAN-S,137-40-6
BIORESMETHRIN,28434-01-7
BIPHENYL,92-52-4
"[1,1'-BIPHENYL]-2-OL, AMMONIUM SALT",52704-98-0
"[1,1'-BIPHENYL]-2-OL, POTASSIUM SALT",13707-65-8
"2,3,4,5-BIS (2-BUTENYLENE) TETRAHYDROFURFURAL",126-15-8
"2,6-BIS(1-METHYLETHYL)NAPHTHALENE",24157-81-1
"1,4-BIS(2-ETHYLHEXYL) SODIUM SULFOSUCCINATE",577-11-7
BIS(2-HYDROXYETHYL)LAURAMIDE,120-40-1
BIS(HYDROGENATED TALLOW ALKYL)DIMETHYLAMMONIUM BENTONITE,68953-58-2
"10,10'-BIS(PHENOXYARSINYL) OXIDE",58-36-6
BIS(TRIBUTYLTIN) OXIDE,56-35-9
BIS(TRICHLORMETHYL) SULFONE,3064-70-8
BISODIUM SULFATE,7757-82-6
BISPYRIBAC-SODIUM,125401-92-5
BK2-W,9004-70-0
BL 2142,31512-74-0
BONE OIL,8001-85-2
"BORATES,TETRA,SODIUM SALTS",1303-96-4
BORIC ACID,10043-35-3
"BORON SODIUM OXIDE (B4NA2O7), PENTAHYDRATE",12179-04-3
BORON SODIUM OXIDE (B8NA2O13),12008-41-2
"BORON SODIUM OXIDE (B8NA2O13), TETRAHYDRATE",12280-03-4
"BORON ZINC OXIDE (B6ZN2O11), HYDRATE",12447-61-9
BRILLIANT BLUE FCF,3844-45-9
BRODIFACOUM,56073-10-0
BROMACIL,314-40-9
"BROMACIL LITHIUM SALT (2,4(H,3H)-PYRIMIDINEDIONE, ETHYL-3 (1-METHYLPROPYL), LITHIUM SALT)",53404-19-6
BROMADIOLONE,28772-56-7
BROMETHALIN,63333-35-7
BROMINE,7726-95-6
BROMINE CHLORIDE,13863-41-7
"1-BROMO-1-(BROMOMETHYL)-1,3-PROPANEDICARBONITRILE",35691-65-7
"4-BROMO-2,5-DICHLOROPHENYL DIMETHYL PHOSPHOROTHIONATE",2104-96-3
"2-BROMO-2-NITROPROPANE-1,3-DIOL",52-51-7
BROMOXYNIL,1689-84-5
BROMOXYNIL OCTANOATE,1689-99-2
BROMUCONAZOLE,116255-48-2
BTC 1100,53516-75-9
BTC 776,53516-76-0
BTC 927,8045-22-5
"BUFA-4,20,22-TRIENOLIDE, 6-(ACETYLOXY)-3-(.BETA.-D-GLUCOPYRANOSYLOXY)-8,14-DIHYDROXY-, (3.BETA.,6.BETA.)-",507-60-8
BUFENCARB (RE-5353),2282-34-0
BUPROFEZIN (APPLAUD),69327-76-0
BUSAN 1104,85264-33-1
BUSAN 74 (HPMTS),29803-57-4
"1,3-BUTANDIOL",107-88-0
"BUTANEDIOIC ACID, CADMIUM SALT (1:1)",141-00-4
"BUTANEDIOIC ACID, SULFO-, 1,4-DIOCTYL ESTER, SODIUM SALT",1639-66-3
1-BUTANETHIOL,109-79-5
"BUTANOIC ACID, 4-(2,4-DICHLOROPHENOXY)-, COMPD. WITH N-METHYLMETHANAMINE (1:1)",2758-42-1
"BUTANOIC ACID, 4-(2,4-DICHLOROPHENOXY)-, ISOOCTYL ESTER",1320-15-6
"BUTANOIC ACID, 4-(2,4-DICHLOROPHENOXY)-, SODIUM SALT",10433-59-7
"BUTANOIC ACID, 4-(4-CHLORO-2-METHYLPHENOXY)-, SODIUM SALT",6062-26-6
"3-BUTEN-2-ONE, 4-(2,6,6-TRIMETHYL-2-CYCLOHEXEN-1-YL)-, (E)-",127-41-3
"3-BUTENOIC ACID, 2-AMINO-4-(2-AMINOETHOXY)-, MONOHYDROCHLORIDE, [S-(E)]-",55720-26-8
BUTONATE,126-22-7
BUTOXYCARBOXIM,34681-23-7
BUTRALIN,33629-47-9
BUTYLATE,2008-41-5
C.I. BASIC GREEN 4,569-64-2
(C10-C16) ALKYLBENZENESULFONIC ACID,68584-22-5
(C10-C16)ALKYLDIMETHYLAMINE OXIDE,70592-80-2
(C12-C18) ALKYLDIMETHYLBENZYL AMMONIUM CHLORIDE,68391-01-5
(C14-C18) DIALKYLDIMETHYLAMMONIUM CHLORIDE,68002-59-5
(C6-C12) ALKYL ALCOHOL,68603-15-6
(C6-C12) ALKYLCARBOXYLIC ACID METHYL ESTER,67762-39-4
"(C8-C18 AND C18)UNSATURATED ALKYL CARBOXYLIC ACID, POTASSIUM SALT",67701-09-1
(C8-C18) AND (C18) UNSATURATED ALKYLCARBOXYLIC ACID SODIUM SALT,67701-10-4
CACODYLIC ACID,75-60-5
CADMIUM CARBONATE,513-78-0
CADMIUM CHLORIDE,10108-64-2
CADRE,104098-49-9
CALCIUM ARSENATE [2ASH3O4.2CA],7778-44-1
CALCIUM CARBONATE,471-34-1
CALCIUM CHLORIDE (CACL2),10043-52-4
CALCIUM CYANAMIDE,156-62-7
CALCIUM CYANIDE,592-01-8
CALCIUM HYDROXIDE,1305-62-0
CALCIUM HYPOCHLORITE,7778-54-3
CALCIUM OXIDE,1305-78-8
CALCIUM OXYTETRACYCLINE,7179-50-2
CALCIUM SILICATE,10101-39-0
CALCIUM SILICATE,1344-95-2
CALCIUM SULFATE,7778-18-9
CALCIUM SULFIDE (CA(SX)),1344-81-6
CALCIUM THIOSULFATE,10124-41-1
CAMPHECHLOR,8001-35-2
CAMPHOR,76-22-2
CAPRIC ACID,334-48-5
CAPRYLIC ACID,124-07-2
CAPSAICIN,404-86-4
CAPTAN,133-06-2
"CARBAMIC ACID, 1H-BENZIMIDAZOL-2-YL, 2-(ETHOXYETHOXY)ETHYL ESTER",62732-91-6
"CARBAMIC ACID, 1H-BENZIMIDAZOL-2-YL-, METHYL ESTER, PHOSPHATE (1:1)",52316-55-9
"CARBAMIC ACID, [(4-AMINOPHENYL)SULFONYL]-, METHYL ESTER, MONOSODIUM SALT",2302-17-2
CARBARYL,63-25-2
CARBENDAZIM,10605-21-7
CARBOFURAN,1563-66-2
CARBON,7440-44-0
CARBON DIOXIDE,124-38-9
CARBON DISULFIDE,75-15-0
CARBON TETRACHLORIDE,56-23-5
"CARBONIC ACID, AMMONIUM COPPER SALT",33113-08-5
"CARBONIC ACID, COPPER(2+) SALT (1:1)",1184-64-1
CARBOPHENOTHION,786-19-6
CARBOXIN,5234-68-4
"(((CARBOXYMETHYL)IMINO)BIS(ETHYLENENITRILO))TETRAACETIC ACID, PENTASODIUM SALT",140-01-2
CARFENTRAZONE-ETHYL,128639-02-1
CASTOR OIL,8001-79-4
CAUSTIC SODA,1310-73-2
CEDARWOOD OIL,8000-27-9
CETYLDIMETHYLETHYLAMMONIUM BROMIDE,124-03-8
CHEMICAL OIL (COAL),65996-82-9
"CHINOMETHIONAT (6-METHYL-1,3-DITHIOLO[4,5-B]QUINOX",196869
CHITIN,1398-61-4
CHITOSAN,9012-76-4
4-CHLOR-M-CRESOL,59-50-7
CHLORBROMURON (MALORAN),13360-45-7
CHLORDANE,57-74-9
CHLORDIMEFORM,6164-98-3
CHLORETHOXYFOS (FORTRESS),54593-83-8
CHLORFENAC (+ SALTS),85-34-7
CHLORFENAPYR (PIRATE),122453-73-0
CHLORFENVINFOS,470-90-6
CHLORFLURECOL METHYL ESTER,2536-31-4
CHLORHYDRIN,96-24-2
CHLORIDAZON,1698-60-8
CHLORIMURON ETHYL,90982-32-4
CHLORINATED TRISODIUM PHOSPHATE,56802-99-4
CHLORINE,7782-50-5
