chemical_name,pc_code,use,application_method,application_form,solubility,incorporation_depth,application_rate,drift_fraction,runoff_fraction,ec25_nonlisted_seedling_emergence_monocot,noaec_listed_seedling_emergence_monocot,ec25_nonlisted_seedling_emergence_dicot,noaec_listed_seedling_emergence_dicot,ec25_nonlisted_vegetative_vigor_monocot,noaec_listed_vegetative_vigor_monocot,ec25_nonlisted_vegetative_vigor_dicot,noaec_listed_vegetative_vigor_dicot
Alachlor,90501,Corn,Ground,Spray,240,1,4,0.01,0.05,0.0067,0.034,0.0023,0.019,0.068,1.4,0.037,0.67
Alachlor,90501,Corn,Ground,Spray,240,1,4,0.01,0.05,0.0067,0.034,0.0023,0.019,0.068,1.4,0.037,0.67
Alachlor,90501,Corn,Ground,Spray,240,1,4,0.01,0.05,0.0067,0.034,0.0023,0.019,0.068,1.4,0.037,0.67
Mesotrione,122990,Corn,Ground,Spray,1600,1,0.094,0.01,0.05,0.011,0.006,0.0019,0.0005,0.0009,0.0001,0.00023,0.0001
Mesotrione,122990,Corn,Ground,Spray,1600,1,0.188,0.01,0.05,0.011,0.006,0.0019,0.0005,0.0009,0.0001,0.00023,0.0001
Mesotrione,122990,Corn,Aerial,Spray,1600,1,0.188,0.05,0.05,0.011,0.006,0.0019,0.0005,0.0009,0.0001,0.00023,0.0001
Mesotrione,122990,Corn,Ground,Spray,1600,2,0.188,0.01,0.05,0.011,0.006,0.0019,0.0005,0.0009,0.0001,0.00023,0.0001
Mesotrione,122990,Corn,Ground,Spray,1600,6,0.188,0.01,0.05,0.011,0.006,0.0019,0.0005,0.0009,0.0001,0.00023,0.0001
Profenofos,111401,Cotton,Ground,Spray,20,1,0.5,0.01,0.02,1,1,0.13,0.11,1,1,1,1
Dicamba,128931,Cotton,Ground,Spray,6100,1,1,0.01,0.05,1.68,0.64,0.123,0.0673,0.472,0.137,0.000513,0.000261
Picloram K Salt,5104,Ag Fallow/Conservation Reserve/Pasture,Ground,Spray,430,1,1.029,0.01,0.05,0.082,0.027,0.0066,0.0034,0.028,0.0035,0.00016,0.000026
Picloram K Salt,5104,Ag Fallow/Conservation Reserve/Pasture,Aerial,Spray,430,1,1.029,0.05,0.05,0.082,0.027,0.0066,0.0034,0.028,0.0035,0.00016,0.000026
