state,name,lake sq km,max concentration (cells/ml),mean concentration (cells/ml),max area high bloom (sq m),mean area high bloom,max area moderate bloom,mean area moderate bloom,max area low bloom,mean area low bloom,freq high bloom (%),freq moderate bloom (%),freq low bloom (%)
AL,Lake ID: 15822839,103.962,2187761.624,273620.9937,124500,35214.49275,36900,7923.188406,9600,1684.057971,0.869565217,0.859903382,0.768115942
AL,Guntersville Lake,200.473,3019951.72,141202.2237,198900,6715.942029,109800,5834.782609,31200,1775.362319,0.753623188,0.739130435,0.599033816
AL,Lake ID: 166759070,160.838,1513561.248,75427.0916,57000,3185.507246,51000,5305.797101,14100,1859.42029,0.666666667,0.77294686,0.642512077
AL,Lake ID: 166759059,103.633,1258925.412,112457.6244,22200,1834.782609,6900,1146.376812,3600,247.826087,0.628019324,0.637681159,0.381642512
AL,Lake ID: 15820095,9.652,1288249.552,82557.90247,16200,2018.84058,8100,875.3623188,1800,226.0869565,0.47826087,0.463768116,0.342995169
AL,Lake ID: 166997604,63.516,3235936.569,62680.72218,75900,2171.014493,26400,2266.666667,10800,785.5072464,0.449275362,0.497584541,0.38647343
AR,Lake ID: 167300345,104.885,2511886.432,304372.0419,288900,151231.8841,96900,19792.75362,21300,3711.594203,0.917874396,0.90821256,0.787439614
AR,Lake ID: 7767759,101.073,1995262.315,115510.3169,121500,12291.30435,77100,10511.5942,16500,2897.101449,0.826086957,0.821256039,0.763285024
AR,Greens Lake (historical),20.401,3388441.561,231125.7366,28500,7992.753623,8700,1724.637681,2400,398.5507246,0.816425121,0.739130435,0.536231884
AR,Lake Erling,16.961,1778279.41,106615.7755,17400,3965.217391,13500,2878.26087,3600,534.7826087,0.768115942,0.811594203,0.642512077
AR,Lake ID: 15231972,158.013,1548816.619,55859.56747,77100,5298.550725,91200,16827.53623,27900,5914.492754,0.700483092,0.792270531,0.743961353
AR,Greers Ferry Lake,127.569,1778279.41,64108.15387,104400,5289.855072,100500,11565.21739,27600,4463.768116,0.671497585,0.753623188,0.676328502
AR,Beaver Lake,99.888,1659586.907,61508.38981,32700,2013.043478,31800,4386.956522,7200,1417.391304,0.61352657,0.666666667,0.579710145
AR,Lake ID: 19298489,2.322,2884031.503,648691.293,4800,1885.507246,1200,100,900,37.68115942,0.603864734,0.193236715,0.086956522
AR,Lake ID: 7826252,5.002,1318256.739,131480.6819,6600,1508.695652,4500,340.5797101,1500,88.4057971,0.599033816,0.415458937,0.193236715
AR,Horseshoe Lake,9.511,2691534.804,290933.1113,12000,3982.608696,3600,357.9710145,900,71.01449275,0.579710145,0.405797101,0.173913043
AR,De Gray Lake,46.737,1513561.248,65004.46373,17100,1350.724638,27300,3434.782609,5700,955.0724638,0.550724638,0.671497585,0.594202899
AR,Lake ID: 120050274,2.465,1023292.992,85420.23106,3000,701.4492754,2400,405.7971014,600,42.02898551,0.526570048,0.502415459,0.130434783
AR,Lake ID: 21815150,6.236,2570395.783,122107.0847,9600,1066.666667,4800,560.8695652,1500,118.8405797,0.492753623,0.45410628,0.241545894
AR,Lake Maumelle,36.4,1445439.771,56905.5138,28800,1439.130435,28500,2695.652174,14400,942.0289855,0.468599034,0.570048309,0.473429952
AR,Lake ID: 21808398,2.378,1862087.137,251918.0575,2700,675.3623188,2400,89.85507246,300,8.695652174,0.468599034,0.178743961,0.028985507
