LAKE,LAT,LON,Jan-08,Jan-08,Feb-08,Feb-08,Mar-08,Mar-08,Apr-08,Apr-08,May-08,May-08,Jun-08,Jun-08,Jul-08,Jul-08,Aug-08,Aug-08,Sep-08,Sep-08,Oct-08,Oct-08,Nov-08,Nov-08,Dec-08,Dec-08,Jan-09,Jan-09,Feb-09,Feb-09,Mar-09,Mar-09,Apr-09,Apr-09,May-09,May-09,Jun-09,Jun-09,Jul-09,Jul-09,Aug-09,Aug-09,Sep-09,Sep-09,Oct-09,Oct-09,Nov-09,Nov-09,Dec-09,Dec-09,Jan-10,Jan-10,Feb-10,Feb-10,Mar-10,Mar-10,Apr-10,Apr-10,May-10,May-10,Jun-10,Jun-10,Jul-10,Jul-10,Aug-10,Aug-10,Sep-10,Sep-10,Oct-10,Oct-10,Nov-10,Nov-10,Dec-10,Dec-10,Jan-11,Jan-11,Feb-11,Feb-11,Mar-11,Mar-11,Apr-11,Apr-11,May-11,May-11,Jun-11,Jun-11,Jul-11,Jul-11,Aug-11,Aug-11,Sep-11,Sep-11,Oct-11,Oct-11,Nov-11,Nov-11,Dec-11,Dec-11
Agassiz Pool,48.34,-96.01,0,0,0,0,0,0,295120.9227,295120.9227,537031.7964,537031.7964,186208.7137,186208.7137,173780.0829,173780.0829,501187.2336,501187.2336,977237.221,977237.221,891250.9381,891250.9381,141253.7545,141253.7545,0,0,0,0,0,0,0,0,234422.8815,234422.8815,263026.7992,263026.7992,1096478.196,1096478.196,660693.448,660693.448,602559.5861,602559.5861,645654.229,645654.229,1071519.305,1071519.305,870963.59,870963.59,0,0,0,0,0,0,416869.3835,416869.3835,707945.7844,707945.7844,758577.575,758577.575,416869.3835,416869.3835,177827.941,177827.941,0,0,173780.0829,173780.0829,691830.9709,691830.9709,380189.3963,380189.3963,0,0,0,0,0,0,0,0,478630.0923,478630.0923,616595.0019,616595.0019,0,0,0,0,0,0,537031.7964,537031.7964,630957.3445,630957.3445,213796.209,213796.209,0,0
Aitkin Lake,46.77,-93.29,0,0,0,0,0,0,346736.8505,346736.8505,380189.3963,380189.3963,616595.0019,616595.0019,724435.9601,724435.9601,758577.575,758577.575,1348962.883,1348962.883,1445439.771,1445439.771,331131.1215,331131.1215,0,0,0,0,0,0,0,0,489778.8194,489778.8194,630957.3445,630957.3445,630957.3445,630957.3445,891250.9381,891250.9381,1318256.739,1318256.739,1513561.248,1513561.248,933254.3008,933254.3008,549540.8739,549540.8739,251188.6432,251188.6432,0,0,0,0,354813.3892,354813.3892,562341.3252,562341.3252,398107.1706,398107.1706,524807.4602,524807.4602,501187.2336,501187.2336,1318256.739,1318256.739,1698243.652,1698243.652,1122018.454,1122018.454,457088.1896,457088.1896,0,0,0,0,0,0,0,0,316227.766,316227.766,478630.0923,478630.0923,467735.1413,467735.1413,870963.59,870963.59,1318256.739,1318256.739,2290867.653,2290867.653,776247.1166,776247.1166,1698243.652,1698243.652,346736.8505,346736.8505
Alamo Lake,34.26,-113.6,74131.02413,74131.02413,199526.2315,199526.2315,79432.82347,79432.82347,309029.5433,309029.5433,66069.3448,66069.3448,263026.7992,263026.7992,61659.50019,61659.50019,25703.95783,25703.95783,112201.8454,112201.8454,42657.95188,42657.95188,114815.3621,114815.3621,169824.3652,169824.3652,181970.0859,181970.0859,22387.21139,22387.21139,28183.82931,28183.82931,194984.46,194984.46,117489.7555,117489.7555,257039.5783,257039.5783,12589.25412,12589.25412,95499.2586,95499.2586,60255.95861,60255.95861,31622.7766,31622.7766,54954.08739,54954.08739,181970.0859,181970.0859,112201.8454,112201.8454,194984.46,194984.46,173780.0829,173780.0829,134896.2883,134896.2883,204173.7945,204173.7945,154881.6619,154881.6619,11481.53621,11481.53621,24547.08916,24547.08916,0,0,61659.50019,61659.50019,489778.8194,489778.8194,38904.5145,38904.5145,158489.3192,158489.3192,741310.2413,741310.2413,147910.8388,147910.8388,158489.3192,158489.3192,354813.3892,354813.3892,28840.31503,28840.31503,44668.35922,44668.35922,0,0,0,0,0,0,281838.2931,281838.2931,40738.02778,40738.02778
Albert Lea Lake,43.63,-93.31,0,0,0,0,0,0,0,0,0,0,489778.8194,489778.8194,2511886.432,2511886.432,3311311.215,3311311.215,2511886.432,2511886.432,3162277.66,3162277.66,1513561.248,1513561.248,0,0,0,0,0,0,338844.1561,338844.1561,1174897.555,1174897.555,1348962.883,1348962.883,0,0,1122018.454,1122018.454,2754228.703,2754228.703,2691534.804,2691534.804,1905460.718,1905460.718,501187.2336,501187.2336,478630.0923,478630.0923,0,0,0,0,186208.7137,186208.7137,301995.172,301995.172,354813.3892,354813.3892,446683.5922,446683.5922,2238721.139,2238721.139,3388441.561,3388441.561,2630267.992,2630267.992,63095.73445,63095.73445,194984.46,194984.46,0,0,0,0,0,0,91201.08394,91201.08394,0,0,0,0,0,0,2137962.09,2137962.09,3388441.561,3388441.561,3388441.561,3388441.561,3388441.561,3388441.561,776247.1166,776247.1166,407380.2778,407380.2778
Alcova Reservoir,42.53,-106.7,125892.5412,125892.5412,138038.4265,138038.4265,158489.3192,158489.3192,309029.5433,309029.5433,218776.1624,218776.1624,323593.6569,323593.6569,346736.8505,346736.8505,467735.1413,467735.1413,1698243.652,1698243.652,162181.0097,162181.0097,190546.0718,190546.0718,194984.46,194984.46,165958.6907,165958.6907,158489.3192,158489.3192,269153.4804,269153.4804,53703.17964,53703.17964,407380.2778,407380.2778,331131.1215,331131.1215,354813.3892,354813.3892,389045.145,389045.145,1584893.192,1584893.192,263026.7992,263026.7992,169824.3652,169824.3652,97723.7221,97723.7221,257039.5783,257039.5783,87096.359,87096.359,380189.3963,380189.3963,575439.9373,575439.9373,524807.4602,524807.4602,416869.3835,416869.3835,426579.5188,426579.5188,186208.7137,186208.7137,562341.3252,562341.3252,295120.9227,295120.9227,269153.4804,269153.4804,204173.7945,204173.7945,100000,100000,169824.3652,169824.3652,346736.8505,346736.8505,380189.3963,380189.3963,263026.7992,263026.7992,512861.384,512861.384,446683.5922,446683.5922,1000000,1000000,933254.3008,933254.3008,2454708.916,2454708.916,436515.8322,436515.8322,295120.9227,295120.9227
"Alfred, Lake",28.1,-81.74,812830.5162,812830.5162,446683.5922,446683.5922,295120.9227,295120.9227,138038.4265,138038.4265,131825.6739,131825.6739,812830.5162,812830.5162,97723.7221,97723.7221,0,0,1479108.388,1479108.388,1230268.771,1230268.771,891250.9381,891250.9381,630957.3445,630957.3445,630957.3445,630957.3445,501187.2336,501187.2336,724435.9601,724435.9601,1230268.771,1230268.771,1230268.771,1230268.771,1412537.545,1412537.545,1318256.739,1318256.739,1621810.097,1621810.097,1737800.829,1737800.829,1698243.652,1698243.652,1380384.265,1380384.265,1202264.435,1202264.435,1122018.454,1122018.454,446683.5922,446683.5922,416869.3835,416869.3835,245470.8916,245470.8916,416869.3835,416869.3835,81283.05162,81283.05162,398107.1706,398107.1706,977237.221,977237.221,1412537.545,1412537.545,1445439.771,1445439.771,1479108.388,1479108.388,1230268.771,1230268.771,891250.9381,891250.9381,831763.7711,831763.7711,1023292.992,1023292.992,1258925.412,1258925.412,1548816.619,1548816.619,1412537.545,1412537.545,1445439.771,1445439.771,1584893.192,1584893.192,1584893.192,1584893.192,1479108.388,1479108.388,1584893.192,1584893.192,1148153.621,1148153.621
Alkali Lake,48.41,-112.5,208929.6131,208929.6131,0,0,257039.5783,257039.5783,0,0,0,0,234422.8815,234422.8815,524807.4602,524807.4602,0,0,288403.1503,288403.1503,301995.172,301995.172,263026.7992,263026.7992,151356.1248,151356.1248,245470.8916,245470.8916,186208.7137,186208.7137,173780.0829,173780.0829,251188.6432,251188.6432,1995262.315,1995262.315,457088.1896,457088.1896,288403.1503,288403.1503,1047128.548,1047128.548,2041737.945,2041737.945,363078.0548,363078.0548,281838.2931,281838.2931,0,0,0,0,107151.9305,107151.9305,181970.0859,181970.0859,269153.4804,269153.4804,380189.3963,380189.3963,389045.145,389045.145,537031.7964,537031.7964,812830.5162,812830.5162,707945.7844,707945.7844,295120.9227,295120.9227,204173.7945,204173.7945,0,0,154881.6619,154881.6619,0,0,0,0,218776.1624,218776.1624,676082.9754,676082.9754,630957.3445,630957.3445,457088.1896,457088.1896,489778.8194,489778.8194,1862087.137,1862087.137,1659586.907,1659586.907,812830.5162,812830.5162,512861.384,512861.384
Alkali Lake,46.77,-99.84,0,0,0,0,14125.37545,14125.37545,1202264.435,1202264.435,1202264.435,1202264.435,1174897.555,1174897.555,1258925.412,1258925.412,1479108.388,1479108.388,1698243.652,1698243.652,1659586.907,1659586.907,616595.0019,616595.0019,0,0,0,0,0,0,0,0,1096478.196,1096478.196,758577.575,758577.575,0,0,2754228.703,2754228.703,2754228.703,2754228.703,676082.9754,676082.9754,512861.384,512861.384,977237.221,977237.221,0,0,0,0,0,0,0,0,512861.384,512861.384,234422.8815,234422.8815,645654.229,645654.229,1995262.315,1995262.315,239883.2919,239883.2919,1047128.548,1047128.548,1000000,1000000,794328.2347,794328.2347,0,0,0,0,0,0,0,0,134896.2883,134896.2883,251188.6432,251188.6432,69183.09709,69183.09709,1659586.907,1659586.907,1819700.859,1819700.859,2511886.432,2511886.432,794328.2347,794328.2347,741310.2413,741310.2413,190546.0718,190546.0718
Alkaline Lake,46.67,-99.57,0,0,0,0,16982.43652,16982.43652,602559.5861,602559.5861,588843.6554,588843.6554,3388441.561,3388441.561,3388441.561,3388441.561,1122018.454,1122018.454,776247.1166,776247.1166,323593.6569,323593.6569,181970.0859,181970.0859,0,0,0,0,0,0,0,0,154881.6619,154881.6619,128824.9552,128824.9552,575439.9373,575439.9373,645654.229,645654.229,478630.0923,478630.0923,1412537.545,1412537.545,295120.9227,295120.9227,218776.1624,218776.1624,0,0,0,0,0,0,0,0,120226.4435,120226.4435,446683.5922,446683.5922,436515.8322,436515.8322,630957.3445,630957.3445,851138.0382,851138.0382,1202264.435,1202264.435,288403.1503,288403.1503,301995.172,301995.172,0,0,0,0,0,0,0,0,112201.8454,112201.8454,186208.7137,186208.7137,0,0,2951209.227,2951209.227,1862087.137,1862087.137,1047128.548,1047128.548,1000000,1000000,338844.1561,338844.1561,186208.7137,186208.7137
Alke Paradise,45.69,-84.75,0,0,0,0,0,0,331131.1215,331131.1215,354813.3892,354813.3892,346736.8505,346736.8505,426579.5188,426579.5188,239883.2919,239883.2919,758577.575,758577.575,562341.3252,562341.3252,389045.145,389045.145,0,0,0,0,0,0,0,0,338844.1561,338844.1561,776247.1166,776247.1166,457088.1896,457088.1896,407380.2778,407380.2778,389045.145,389045.145,346736.8505,346736.8505,794328.2347,794328.2347,549540.8739,549540.8739,0,0,1698243.652,1698243.652,0,0,389045.145,389045.145,645654.229,645654.229,562341.3252,562341.3252,489778.8194,489778.8194,457088.1896,457088.1896,457088.1896,457088.1896,575439.9373,575439.9373,446683.5922,446683.5922,346736.8505,346736.8505,0,0,0,0,0,0,239883.2919,239883.2919,512861.384,512861.384,426579.5188,426579.5188,389045.145,389045.145,316227.766,316227.766,371535.2291,371535.2291,398107.1706,398107.1706,616595.0019,616595.0019,1000000,1000000,562341.3252,562341.3252
