LAKE,LAT,LON,Feb-08,Feb-08,Mar-08,Mar-08,Mar-08,Apr-08,Apr-08,Apr-08,Apr-08,Apr-08,May-08,Jun-08,Jun-08,Jun-08,Jul-08,Jul-08,Aug-08,Aug-08,Sep-08,Sep-08,Sep-08,Oct-08,Oct-08,Oct-08,Oct-08,Oct-08,Nov-08,Nov-08,Nov-08,Nov-08,Nov-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Dec-08,Jan-09,Jan-09,Jan-09,Jan-09,Jan-09,Feb-09,Feb-09,Feb-09,Feb-09,Feb-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Mar-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,Apr-09,May-09,May-09,May-09,May-09,Jun-09,Jun-09,Jun-09,Jul-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Aug-09,Sep-09,Sep-09,Sep-09,Sep-09,Oct-09,Oct-09,Oct-09,Oct-09,Oct-09,Oct-09,Dec-09,Dec-09,Jan-10,Jan-10,Jan-10,Jan-10,Feb-10,Feb-10,Feb-10,Feb-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Mar-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,May-10,May-10,May-10,May-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jun-10,Jul-10,Jul-10,Jul-10,Aug-10,Aug-10,Aug-10,Aug-10,Sep-10,Sep-10,Sep-10,Sep-10,Oct-10,Oct-10,Oct-10,Oct-10,Oct-10,Oct-10,Nov-10,Dec-10,Dec-10,Dec-10,Dec-10,Dec-10,Jan-11,Jan-11,Feb-11,Feb-11,Feb-11,Mar-11,Mar-11,Mar-11,Mar-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,May-11,May-11,May-11,May-11,May-11,May-11,Jun-11,Jun-11,Jun-11,Jun-11,Jul-11,Jul-11,Jul-11,Aug-11,Aug-11,Sep-11,Sep-11,Sep-11,Sep-11,Sep-11,Oct-11,Oct-11,Oct-11,Oct-11,Nov-11,Nov-11,Nov-11,Nov-11,Dec-11
Agassiz Pool,48.34,-96.01,5409,5409,3682,3394,3368,2210,2231,2802,2133,4969,5559,9546,20544,16994,8689,5425,3385,1900,2216,1455,2014,5170,4969,4983,7393,6954,6463,7645,3250,2312,2133,1506,1856,4300,5064,8120,7067,7226,6160,6028,3070,2496,2648,1873,2560,3546,4968,7357,48.41,112.4,11881,5409,3682,3394,3368,2210,2231,2802,2133,4969,5559,9546,20544,16994,8689,5425,3385,1900,2216,1455,2014,5170,4969,4983,7393,6954,6463,7645,3250,2312,2133,1506,1856,4300,5064,8120,7067,7226,6160,6028,3070,2496,2648,1873,2560,3546,4968,7357,48.41,112.4,11881,5409,3682,3394,3368,2210,2231,2802,2133,4969,5559,9546,20544,16994,8689,5425,3385,1900,2216,1455,2014,5170,4969,4983,7393,6954,6463,7645,3250,2312,2133,1506,1856,4300,5064,8120,7067,7226,6160,6028,3070,2496,2648,1873,2560,3546,4968,7357,48.41,112.4,11881,5409,3682,3394,3368,2210,2231,2802,2133,4969,5559,9546,20544,16994,8689,5425,3385,1900,2216,1455,2014,5170,4969,4983,7393,6954,6463,7645,3250,2312,2133,1506,1856,4300,5064,8120,7067,7226,6160,6028,3070
Aitkin Lake,46.77,-93.28,0,0,0,0,0,0,0,0,280,1614,1735,2792,4887,5983,5399,3446,2927,1662,1723,1172,1300,2981,3918,4471,11109,6060,3652,2997,1760,1510,1639,1203,1291,2267,3181,4744,4705,7438,4433,3039,1761,1478,1774,1460,2335,2289,2726,4321,46.77,93.28,0,0,0,0,0,0,0,0,280,1614,1735,2792,4887,5983,5399,3446,2927,1662,1723,1172,1300,2981,3918,4471,11109,6060,3652,2997,1760,1510,1639,1203,1291,2267,3181,4744,4705,7438,4433,3039,1761,1478,1774,1460,2335,2289,2726,4321,46.77,93.28,0,0,0,0,0,0,0,0,280,1614,1735,2792,4887,5983,5399,3446,2927,1662,1723,1172,1300,2981,3918,4471,11109,6060,3652,2997,1760,1510,1639,1203,1291,2267,3181,4744,4705,7438,4433,3039,1761,1478,1774,1460,2335,2289,2726,4321,46.77,93.28,0,0,0,0,0,0,0,0,280,1614,1735,2792,4887,5983,5399,3446,2927,1662,1723,1172,1300,2981,3918,4471,11109,6060,3652,2997,1760,1510,1639,1203,1291,2267,3181,4744,4705,7438,4433,3039,1761
Alamo Lake,34.26,-113.6,8245,8245,5474,4601,5469,3955,3628,4417,4902,12310,12464,12552,25203,29311,11609,8021,6421,4343,4762,4899,6314,13794,10782,14604,21590,15441,9436,8851,5594,4585,4863,4478,5183,10423,11102,16243,14369,26555,12933,8714,5348,5087,6164,4784,7930,8389,9994,11154,34.26,113.6,11230,8245,5474,4601,5469,3955,3628,4417,4902,12310,12464,12552,25203,29311,11609,8021,6421,4343,4762,4899,6314,13794,10782,14604,21590,15441,9436,8851,5594,4585,4863,4478,5183,10423,11102,16243,14369,26555,12933,8714,5348,5087,6164,4784,7930,8389,9994,11154,34.26,113.6,11230,8245,5474,4601,5469,3955,3628,4417,4902,12310,12464,12552,25203,29311,11609,8021,6421,4343,4762,4899,6314,13794,10782,14604,21590,15441,9436,8851,5594,4585,4863,4478,5183,10423,11102,16243,14369,26555,12933,8714,5348,5087,6164,4784,7930,8389,9994,11154,34.26,113.6,11230,8245,5474,4601,5469,3955,3628,4417,4902,12310,12464,12552,25203,29311,11609,8021,6421,4343,4762,4899,6314,13794,10782,14604,21590,15441,9436,8851,5594,4585,4863,4478,5183,10423,11102,16243,14369,26555,12933,8714,5348
Albert Lea Lake,43.63,-93.32,2853,2853,2128,1747,1670,1186,1173,1527,1452,3569,3208,3077,4716,8549,5425,2524,2159,1364,1494,1213,1567,3160,2797,2808,4485,5434,3878,2786,1830,1504,1630,1172,1346,2247,3029,6182,5177,4667,3802,2817,1707,1433,1547,1262,2458,2821,3525,4474,43.63,93.32,4742,2853,2128,1747,1670,1186,1173,1527,1452,3569,3208,3077,4716,8549,5425,2524,2159,1364,1494,1213,1567,3160,2797,2808,4485,5434,3878,2786,1830,1504,1630,1172,1346,2247,3029,6182,5177,4667,3802,2817,1707,1433,1547,1262,2458,2821,3525,4474,43.63,93.32,4742,2853,2128,1747,1670,1186,1173,1527,1452,3569,3208,3077,4716,8549,5425,2524,2159,1364,1494,1213,1567,3160,2797,2808,4485,5434,3878,2786,1830,1504,1630,1172,1346,2247,3029,6182,5177,4667,3802,2817,1707,1433,1547,1262,2458,2821,3525,4474,43.63,93.32,4742,2853,2128,1747,1670,1186,1173,1527,1452,3569,3208,3077,4716,8549,5425,2524,2159,1364,1494,1213,1567,3160,2797,2808,4485,5434,3878,2786,1830,1504,1630,1172,1346,2247,3029,6182,5177,4667,3802,2817,1707
Alcova Reservoir,42.53,-106.7,12675,12675,6840,6139,6738,5045,4571,4757,4280,11701,12475,11003,22692,29178,14309,11513,8591,5007,5628,5056,6221,13499,12736,16055,23474,19922,12623,9575,5920,4703,5060,4296,5080,10468,12557,18068,14573,28637,16045,10175,6003,5828,6809,4980,7866,8892,11374,15412,42.53,106.7,20987,12675,6840,6139,6738,5045,4571,4757,4280,11701,12475,11003,22692,29178,14309,11513,8591,5007,5628,5056,6221,13499,12736,16055,23474,19922,12623,9575,5920,4703,5060,4296,5080,10468,12557,18068,14573,28637,16045,10175,6003,5828,6809,4980,7866,8892,11374,15412,42.53,106.7,20987,12675,6840,6139,6738,5045,4571,4757,4280,11701,12475,11003,22692,29178,14309,11513,8591,5007,5628,5056,6221,13499,12736,16055,23474,19922,12623,9575,5920,4703,5060,4296,5080,10468,12557,18068,14573,28637,16045,10175,6003,5828,6809,4980,7866,8892,11374,15412,42.53,106.7,20987,12675,6840,6139,6738,5045,4571,4757,4280,11701,12475,11003,22692,29178,14309,11513,8591,5007,5628,5056,6221,13499,12736,16055,23474,19922,12623,9575,5920,4703,5060,4296,5080,10468,12557,18068,14573,28637,16045,10175,6003
"Alfred, Lake",28.1,-81.74,11007,11007,4905,3833,4085,2687,2464,2787,2020,3236,6285,8757,13247,13313,13672,8753,7081,4338,4390,2962,2630,6839,6747,8698,15390,7853,9197,9298,4550,3349,3577,2774,2956,5163,5185,10893,12323,16001,9255,7496,4500,3315,3216,2220,3094,4033,5222,7069,28.1,81.74,18921,11007,4905,3833,4085,2687,2464,2787,2020,3236,6285,8757,13247,13313,13672,8753,7081,4338,4390,2962,2630,6839,6747,8698,15390,7853,9197,9298,4550,3349,3577,2774,2956,5163,5185,10893,12323,16001,9255,7496,4500,3315,3216,2220,3094,4033,5222,7069,28.1,81.74,18921,11007,4905,3833,4085,2687,2464,2787,2020,3236,6285,8757,13247,13313,13672,8753,7081,4338,4390,2962,2630,6839,6747,8698,15390,7853,9197,9298,4550,3349,3577,2774,2956,5163,5185,10893,12323,16001,9255,7496,4500,3315,3216,2220,3094,4033,5222,7069,28.1,81.74,18921,11007,4905,3833,4085,2687,2464,2787,2020,3236,6285,8757,13247,13313,13672,8753,7081,4338,4390,2962,2630,6839,6747,8698,15390,7853,9197,9298,4550,3349,3577,2774,2956,5163,5185,10893,12323,16001,9255,7496,4500
Alkali Lake,48.41,-112.4,5409,5409,3682,3394,3368,2210,2231,2802,2133,4969,5559,9546,20544,16994,8689,5425,3385,1900,2216,1455,2014,5170,4969,4983,7393,6954,6463,7645,3250,2312,2133,1506,1856,4300,5064,8120,7067,7226,6160,6028,3070,2496,2648,1873,2560,3546,4968,7357,48.41,112.4,11881,5409,3682,3394,3368,2210,2231,2802,2133,4969,5559,9546,20544,16994,8689,5425,3385,1900,2216,1455,2014,5170,4969,4983,7393,6954,6463,7645,3250,2312,2133,1506,1856,4300,5064,8120,7067,7226,6160,6028,3070,2496,2648,1873,2560,3546,4968,7357,48.41,112.4,11881,5409,3682,3394,3368,2210,2231,2802,2133,4969,5559,9546,20544,16994,8689,5425,3385,1900,2216,1455,2014,5170,4969,4983,7393,6954,6463,7645,3250,2312,2133,1506,1856,4300,5064,8120,7067,7226,6160,6028,3070,2496,2648,1873,2560,3546,4968,7357,48.41,112.4,11881,5409,3682,3394,3368,2210,2231,2802,2133,4969,5559,9546,20544,16994,8689,5425,3385,1900,2216,1455,2014,5170,4969,4983,7393,6954,6463,7645,3250,2312,2133,1506,1856,4300,5064,8120,7067,7226,6160,6028,3070
Alkali Lake,46.77,-99.84,0,0,0,0,0,0,0,0,0,0,4415,8742,15514,13871,13167,10784,10644,7105,6768,4577,3967,5118,9499,24102,37048,13045,10494,9690,5713,4983,5239,3589,3388,4533,6947,16237,11396,11545,11070,9648,5583,4545,4704,3521,4310,4144,6331,9135,46.77,99.84,0,0,0,0,0,0,0,0,0,0,4415,8742,15514,13871,13167,10784,10644,7105,6768,4577,3967,5118,9499,24102,37048,13045,10494,9690,5713,4983,5239,3589,3388,4533,6947,16237,11396,11545,11070,9648,5583,4545,4704,3521,4310,4144,6331,9135,46.77,99.84,0,0,0,0,0,0,0,0,0,0,4415,8742,15514,13871,13167,10784,10644,7105,6768,4577,3967,5118,9499,24102,37048,13045,10494,9690,5713,4983,5239,3589,3388,4533,6947,16237,11396,11545,11070,9648,5583,4545,4704,3521,4310,4144,6331,9135,46.77,99.84,0,0,0,0,0,0,0,0,0,0,4415,8742,15514,13871,13167,10784,10644,7105,6768,4577,3967,5118,9499,24102,37048,13045,10494,9690,5713,4983,5239,3589,3388,4533,6947,16237,11396,11545,11070,9648,5583
Alkaline Lake,46.67,-99.57,11189,5885,3724,2599,2594,2007,1894,2054,1895,5373,5886,7080,18389,14676,8358,4819,3685,2319,2568,2104,2757,5858,5206,6162,8555,7572,9086,6990,3582,2565,2872,2562,2698,4871,6092,7633,7733,11082,8341,6023,3422,2747,3157,2408,3794,4464,5591,7784,46.67,99.57,11189,5885,3724,2599,2594,2007,1894,2054,1895,5373,5886,7080,18389,14676,8358,4819,3685,2319,2568,2104,2757,5858,5206,6162,8555,7572,9086,6990,3582,2565,2872,2562,2698,4871,6092,7633,7733,11082,8341,6023,3422,2747,3157,2408,3794,4464,5591,7784,46.67,99.57,11189,5885,3724,2599,2594,2007,1894,2054,1895,5373,5886,7080,18389,14676,8358,4819,3685,2319,2568,2104,2757,5858,5206,6162,8555,7572,9086,6990,3582,2565,2872,2562,2698,4871,6092,7633,7733,11082,8341,6023,3422,2747,3157,2408,3794,4464,5591,7784,46.67,99.57,11189,5885,3724,2599,2594,2007,1894,2054,1895,5373,5886,7080,18389,14676,8358,4819,3685,2319,2568,2104,2757,5858,5206,6162,8555,7572,9086,6990,3582,2565,2872,2562,2698,4871,6092,7633,7733,11082,8341,6023,3422
Alke Paradise,45.69,-84.75,12386,10301,5279,3454,6323,3600,3398,4409,4248,12005,10512,10726,21669,24840,11050,7295,5931,4274,5128,5483,7302,13378,12998,18253,25164,16469,11324,9637,5337,4987,5448,4669,6174,10711,12917,16788,12303,24989,17368,10901,6479,5924,6792,5965,8837,10206,13582,18279,45.69,84.75,12386,10301,5279,3454,6323,3600,3398,4409,4248,12005,10512,10726,21669,24840,11050,7295,5931,4274,5128,5483,7302,13378,12998,18253,25164,16469,11324,9637,5337,4987,5448,4669,6174,10711,12917,16788,12303,24989,17368,10901,6479,5924,6792,5965,8837,10206,13582,18279,45.69,84.75,12386,10301,5279,3454,6323,3600,3398,4409,4248,12005,10512,10726,21669,24840,11050,7295,5931,4274,5128,5483,7302,13378,12998,18253,25164,16469,11324,9637,5337,4987,5448,4669,6174,10711,12917,16788,12303,24989,17368,10901,6479,5924,6792,5965,8837,10206,13582,18279,45.69,84.75,12386,10301,5279,3454,6323,3600,3398,4409,4248,12005,10512,10726,21669,24840,11050,7295,5931,4274,5128,5483,7302,13378,12998,18253,25164,16469,11324,9637,5337,4987,5448,4669,6174,10711,12917,16788,12303,24989,17368,10901,6479
