,COMID,StateCode,Pwsid,SystemName,SourceName,SWSourceTy,Region
0,7734457,9,CT0570011,"CT-AMERICAN WATER CO, GREENWICH DIST",MIANUS RESERVOIR,3.0,1
1,7732935,9,CT0570011,"CT-AMERICAN WATER CO, GREENWICH DIST",PUTNAM LAKE RESERVOIR INTAKE,3.0,1
2,7734037,9,CT0570011,"CT-AMERICAN WATER CO, GREENWICH DIST",PUTNAM LAKE RESERVOIR,3.0,1
3,7734003,9,CT0570011,"CT-AMERICAN WATER CO, GREENWICH DIST",ROCKWOOD RESERVOIR,3.0,1
4,7734369,9,CT1350011,AQUARION WATER CO OF CT-STAMFORD SYSTEM,NORTH STAMFORD RESERVOIR,3.0,1
5,7733957,9,CT0570011,"CT-AMERICAN WATER CO, GREENWICH DIST",CONVERSE LAKE,2.0,1
6,7734369,9,CT1350011,AQUARION WATER CO OF CT-STAMFORD SYSTEM,NORTH STAMFORD RESERVOIR INTAKE,3.0,1
7,7733897,9,CT0570011,"CT-AMERICAN WATER CO, GREENWICH DIST",BRUSH RESERVOIR,3.0,1
8,7733899,9,CT0570011,"CT-AMERICAN WATER CO, GREENWICH DIST",BARGH RESERVOIR,3.0,1
9,7733807,9,CT1350011,AQUARION WATER CO OF CT-STAMFORD SYSTEM,LAUREL RESERVOIR INTAKE,3.0,1
10,7733801,9,CT1350011,AQUARION WATER CO OF CT-STAMFORD SYSTEM,LAUREL RESERVOIR,3.0,1
11,7734183,36,NY5903437,MOUNT KISCO WATER DEPARTMENT,BYRAM LAKE,3.0,1
12,7732333,9,CT1030021,SECOND TAXING DISTRICT WATER DEPARTMENT,CITY LAKE INTAKE,3.0,1
13,7733741,9,CT1030021,SECOND TAXING DISTRICT WATER DEPARTMENT,CITY LAKE RESERVOIR,3.0,1
14,7733697,9,CT1030021,SECOND TAXING DISTRICT WATER DEPARTMENT,ROCK LAKE,3.0,1
15,7732185,9,CT1030011,NORWALK FIRST TAXING DISTRICT,GRUPES RESERVOIR INTAKE,3.0,1
16,7733709,9,CT1030011,NORWALK FIRST TAXING DISTRICT,GRUPES RESERVOIR,3.0,1
17,7733715,9,CT1350011,AQUARION WATER CO OF CT-STAMFORD SYSTEM,SISCOWIT RESERVOIR,3.0,1
18,7733685,9,CT1030011,NORWALK FIRST TAXING DISTRICT,JOHN D. MILNE RESERVOIR INTAKE,3.0,1
19,7733685,9,CT1030011,NORWALK FIRST TAXING DISTRICT,JOHN D. MILNE RESERVOIR,3.0,1
20,7733593,9,CT0150011,BHC-MAIN SYSTEM,HEMLOCKS RESERVOIR INTAKE,3.0,1
21,7733651,9,CT1030011,NORWALK FIRST TAXING DISTRICT,BROWNS RESERVOIR,3.0,1
22,7733579,9,CT0150011,BHC-MAIN SYSTEM,HEMLOCKS RESERVOIR,3.0,1
23,7734139,9,CT1350011,AQUARION WATER CO OF CT-STAMFORD SYSTEM,TRINITY LAKE,3.0,1
24,7733625,9,CT1030021,SECOND TAXING DISTRICT WATER DEPARTMENT,POPES POND,3.0,1
25,25077334,9,CT1350011,AQUARION WATER CO OF CT-STAMFORD SYSTEM,MILL RIVER RESERVOIR,3.0,1
26,7733629,9,CT1030011,NORWALK FIRST TAXING DISTRICT,SCOTTS RESERVOIR,3.0,1
27,7733565,9,CT0150011,BHC-MAIN SYSTEM,ASPETUCK RESERVOIR,3.0,1
28,7733499,9,CT0150011,BHC-MAIN SYSTEM,EASTON LAKE INTAKE,3.0,1
29,7718654,9,CT0150011,BHC-MAIN SYSTEM,TRAP FALLS RESERVOIR INTAKE,3.0,1
30,7733479,9,CT0150011,BHC-MAIN SYSTEM,EASTON LAKE RES,3.0,1
31,7733515,9,CT0150011,BHC-MAIN SYSTEM,SAUGATUCK RESERVOIR,3.0,1
