"pccode","casnum","pcname"
107401,27668526,"N-Octadecyldimethyl{3-(trimethoxysilyl)propyl}ammonium chloride                                                                                                                                                                                              "
107401,27668526,"1-Octadecanaminium, N,N-dimethyl-N-(3-(trimethoxysilyl)propyl)-, chloride                                                                                                                                                                                    "
107403,199111507,"3-(Trihydroxysilyl)propyl dimethyl octadecyl ammonium chloride                                                                                                                                                                                               "
107403,199111507,"Octadecyldimethyl trihydroxysilyl propyl  ammonium chloride                                                                                                                                                                                                  "
107403,199111507,"1-Octadecanaminium,N,N-dimethyl-N-[3-(trihydroxysilyl)propyl],chloride                                                                                                                                                                                       "
107409,41591871,"1-Tetradecanaminium,  N, N-dimethyl-N-[3-(trimethoxysilyl)propyl]-, chloride                                                                                                                                                                                 "
107409,41591871,"Dimethyltetradecyl [3-(trimethoxysilyl)propyl]ammonium chloride                                                                                                                                                                                              "
107501,42588374,"Enstar 5E                                                                                                                                                                                                                                                    "
107501,42588374,"Kinoprene                                                                                                                                                                                                                                                    "
107501,42588374,"2-Propynyl (E,E)-3,7,11-trimethyl-2,4-dodecadienoate                                                                                                                                                                                                         "
107501,42588374,"2,4-Dodecadienoic acid, 3,7,11-trimethyl-, 2-propynyl ester, (E,E)-                                                                                                                                                                                          "
107501,42588374,"ZR-777                                                                                                                                                                                                                                                       "
107501,42588374,"2,4-Dodecadienoic acid, 3,7,11-trimethyl-, 2-propynyl ester, (E,E)-                                                                                                                                                                                          "
107501,42588374,"Kinoprene                                                                                                                                                                                                                                                    "
107502,65733202,"Enstar II                                                                                                                                                                                                                                                    "
107502,65733202,"2-Propynyl (S-(E,E))-3,7,1-trimethyl-2,4-dodecadienate                                                                                                                                                                                                       "
107502,65733202,"S-Kinoprene                                                                                                                                                                                                                                                  "
107502,65733202,"2,4-Dodecadienoic acid, 3,7,11-trimethyl-, 2-propynyl ester, (S-(E,E))-                                                                                                                                                                                      "
107502,65733202,"2,4-Dodecadienoic acid, 3,7,11-trimethyl-, 2-propynyl ester, (S-(E,E))-                                                                                                                                                                                      "
107601,68187633,"3-Alkoxy*-2-hydroxypropyl trimethyl ammonium chloride *(100% C12-C15 as in linear, primary alcohol)                                                                                                                                                          "
107601,68187633,"1-Propanaminium, 2-hydroxy-N,N,N,-trimethyl-, 3-(C12-15-alkyloxy) derivs., chlorides                                                                                                                                                                         "
107601,68187633,"Visco 1152 (Use 2 code nos. 047501 and 107601)                                                                                                                                                                                                               "
107701,26628228,"Smite    (name also used for PPPS)                                                                                                                                                                                                                           "
107701,26628228,"Smite    (name also used for PPPS)                                                                                                                                                                                                                           "
107701,26628228,"Sodium azide                                                                                                                                                                                                                                                 "
107702,20762601,"Kazoe                                                                                                                                                                                                                                                        "
107702,20762601,"Potassium azide                                                                                                                                                                                                                                              "
107702,20762601,"Kazoe                                                                                                                                                                                                                                                        "
107801,55406536,"Permatox IBP                                                                                                                                                                                                                                                 "
