pccode,casnum,pcname
8,50704,D-Glucitol                                                                                                                                                                                                                                                   
8,50704,Sorbitol                                                                                                                                                                                                                                                     
11,74884,Methyl iodide                                                                                                                                                                                                                                                
11,74884,"Methane, iodo-                                                                                                                                                                                                                                               "
11,74884,Iodomethane                                                                                                                                                                                                                                                  
12,75274,"Methane, bromodichloro-                                                                                                                                                                                                                                      "
12,75274,Monobromodichloromethane                                                                                                                                                                                                                                     
13,75694,Khaladon 11                                                                                                                                                                                                                                                  
13,75694,Halon 11                                                                                                                                                                                                                                                     
13,75694,"Methane, trichlorofluoro-                                                                                                                                                                                                                                    "
13,75694,"Methane, trichlorofluoro-                                                                                                                                                                                                                                    "
13,75694,Isotron 11                                                                                                                                                                                                                                                   
13,75694,Propellent 11                                                                                                                                                                                                                                                
13,75694,Eskimon 11                                                                                                                                                                                                                                                   
13,75694,FC 11                                                                                                                                                                                                                                                        
13,75694,Kaltron 11                                                                                                                                                                                                                                                   
13,75694,CFC 11                                                                                                                                                                                                                                                       
13,75694,Genetron 11                                                                                                                                                                                                                                                  
13,75694,Frigen 11                                                                                                                                                                                                                                                    
13,75694,Freon 11                                                                                                                                                                                                                                                     
13,75694,Trichlorofluoromethane                                                                                                                                                                                                                                       
14,75718,Dichlorodifluoromethane                                                                                                                                                                                                                                      
14,75718,Frigen 12                                                                                                                                                                                                                                                    
14,75718,Genetron 12                                                                                                                                                                                                                                                  
14,75718,CFC 12                                                                                                                                                                                                                                                       
14,75718,Ledon 12                                                                                                                                                                                                                                                     
14,75718,Freon 12                                                                                                                                                                                                                                                     
14,75718,FC 12                                                                                                                                                                                                                                                        
14,75718,Arcton 12                                                                                                                                                                                                                                                    
14,75718,Eskimon 12                                                                                                                                                                                                                                                   
14,75718,Propellent 12                                                                                                                                                                                                                                                
15,75456,Freon 22                                                                                                                                                                                                                                                     
15,75456,Chlorodifluoromethane (HCFC-22)                                                                                                                                                                                                                              
18,8049998,Activated sewer sludge  (cas 
18,8049998,Milorganit 6-20 Deer Repellant (CAS 
18,8049998,Milorganite                                                                                                                                                                                                                                                  
18,68512890,Activated sewer sludge  (cas 
18,68512890,Milorganit 6-20 Deer Repellant (CAS 
18,68512890,Milorganite                                                                                                                                                                                                                                                  
23,57501,D(+)-Sucrose                                                                                                                                                                                                                                                 
23,57501,Sugar (D(+)-Sucrose)                                                                                                                                                                                                                                         
23,57501,Sucrose                                                                                                                                                                                                                                                      
101,79141,Hydroxyacetic acid                                                                                                                                                                                                                                           
101,79141,Hydroxyethanoic acid                                                                                                                                                                                                                                         
