"regnum","pccode","pcpct","prodname"
166000053,67501,8000,"ACTIVATED PYRETHRINS BRAND DRO BOMB                                   "
166000053,69001,2000,"ACTIVATED PYRETHRINS BRAND DRO BOMB                                   "
166000058,67501,8000,"KO KILLS ROACHES WATERBUGS AND OTHER INSECTS                          "
166000058,69001,2000,"KO KILLS ROACHES WATERBUGS AND OTHER INSECTS                          "
166000059,69001,2000,"DRO ROACH POWDER ALSO KILLS ANTS, WATERBUGS, SILVERFISH               "
166000061,47802,5000,"VAM. O RESIDUAL SURFACE SPRAY                                         "
166000061,63503,785000,"VAM. O RESIDUAL SURFACE SPRAY                                         "
166000062,75202,390000,"DRO SODIUM FLUORIDE KILLS ROACHES                                     "
166000063,10002,10600,"DRO SPRAY COATING KILLS ROACHES                                       "
166000063,47802,10000,"DRO SPRAY COATING KILLS ROACHES                                       "
166000063,63503,768530,"DRO SPRAY COATING KILLS ROACHES                                       "
166000063,67501,620,"DRO SPRAY COATING KILLS ROACHES                                       "
166000063,69001,250,"DRO SPRAY COATING KILLS ROACHES                                       "
166000064,10002,10600,"DRO POSITIVELY KILLS ROACHES                                          "
166000064,47802,10000,"DRO POSITIVELY KILLS ROACHES                                          "
166000064,63503,798530,"DRO POSITIVELY KILLS ROACHES                                          "
166000064,67501,620,"DRO POSITIVELY KILLS ROACHES                                          "
166000064,69001,250,"DRO POSITIVELY KILLS ROACHES                                          "
166000065,63503,960000,"DRO KILLS BEDBUGS, FLEAS                                              "
166000065,67501,8000,"DRO KILLS BEDBUGS, FLEAS                                              "
166000065,69001,2000,"DRO KILLS BEDBUGS, FLEAS                                              "
166000066,63503,960000,"DRO KILLS ANTS, SILVERFISH, SPIDERS                                   "
166000066,67501,8000,"DRO KILLS ANTS, SILVERFISH, SPIDERS                                   "
166000066,69001,2000,"DRO KILLS ANTS, SILVERFISH, SPIDERS                                   "
166000067,63503,960000,"DRO KILLS MOTHS, CARPET BEETLES, EGGS, LARVAE                         "
166000067,67501,8000,"DRO KILLS MOTHS, CARPET BEETLES, EGGS, LARVAE                         "
166000067,69001,2000,"DRO KILLS MOTHS, CARPET BEETLES, EGGS, LARVAE                         "
166000068,6601,2900,"SUPER DRO KILL ROACHES                                                "
166000068,57001,3000,"SUPER DRO KILL ROACHES                                                "
166000068,59101,5000,"SUPER DRO KILL ROACHES                                                "
166000068,63503,955800,"SUPER DRO KILL ROACHES                                                "
166000068,67501,2000,"SUPER DRO KILL ROACHES                                                "
166000068,69001,1000,"SUPER DRO KILL ROACHES                                                "
166000069,10002,10006,"DRO PROFESSIONAL BRAND                                                "
166000069,57801,5000,"DRO PROFESSIONAL BRAND                                                "
166000069,63503,980283,"DRO PROFESSIONAL BRAND                                                "
166000069,67501,620,"DRO PROFESSIONAL BRAND                                                "
166000069,69001,250,"DRO PROFESSIONAL BRAND                                                "
166000070,63503,190000,"AUTOMATIC INDOOR FOGGER                                               "
166000070,67501,8000,"AUTOMATIC INDOOR FOGGER                                               "
166000070,69001,2000,"AUTOMATIC INDOOR FOGGER                                               "
166000072,59101,5000,"DRO ANT AND ROACH KILLER                                              "
166000072,63503,957370,"DRO ANT AND ROACH KILLER                                              "
166000072,67501,2600,"DRO ANT AND ROACH KILLER                                              "
166000072,69001,520,"DRO ANT AND ROACH KILLER                                              "
166000075,63503,4000,"DRO GENERAL PURPOSE AQUEOUS INSECTICIDE                               "
166000075,67501,10000,"DRO GENERAL PURPOSE AQUEOUS INSECTICIDE                               "
166000075,69001,1000,"DRO GENERAL PURPOSE AQUEOUS INSECTICIDE                               "
166000080,67707,50,"VAMO-READY TO USE RAT & MOUSE BAIT                                    "
166000081,63503,960000,"ACTIVATED PYRETHRING SPRAY BRAND DRO  2 BOMB                          "
166000081,67501,8000,"ACTIVATED PYRETHRING SPRAY BRAND DRO  2 BOMB                          "
166000081,69001,2000,"ACTIVATED PYRETHRING SPRAY BRAND DRO  2 BOMB                          "
166020204,11001,999999,"DRO BORATED POWDER                                                    "
166200038,58201,750000,"75% CHLORDANE EMULSIFIABLE CONCENTRATE                                "
166300010,55801,999999,"GRANT'S NAPHTHALENE                                                   "
166300011,4901,50000,"GRANT'S DOG REPELLENT                                                 "
166300011,10801,150000,"GRANT'S DOG REPELLENT                                                 "
166300011,55801,780000,"GRANT'S DOG REPELLENT                                                 "
166300011,61501,20000,"GRANT'S DOG REPELLENT                                                 "
166300012,58301,20000,"GRANT'S ROACH CONTROL                                                 "
166300012,84001,2500,"GRANT'S ROACH CONTROL                                                 "
166300014,57901,10000,"GRANT'S FLY KILL                                                      "
166300015,7001,4600,"GRANT'S ANT CONTROL                                                   "
166300016,44102,20000,"GRANTS DOG AND CAT REPELLENT                                          "
166300017,47802,5000,"GRANT'S ANT, ROACH AND SPIDER SPRAY                                   "
166300017,57001,1660,"GRANT'S ANT, ROACH AND SPIDER SPRAY                                   "
166300017,63503,691840,"GRANT'S ANT, ROACH AND SPIDER SPRAY                                   "
166300017,67501,1000,"GRANT'S ANT, ROACH AND SPIDER SPRAY                                   "
166300017,69001,500,"GRANT'S ANT, ROACH AND SPIDER SPRAY                                   "
166300018,4003,2500,"GRANT'S FLY MOSQUITO AND HOUSEHOLD INSECT SPRAY                       "
