Ingredient,Site Desc,Use Group Desc,Reg#,LUIS Accepted Date,AI%,Formulation Desc,Product Name,Original (Product / A. I.) Max App Rate,A. I. Max App Rate,Max # Apps @ Max Rate / CC,Product Seasonal Max Dose/Year,A. I. Conv Seasonal Max Dose/Year,Product Seasonal Max Dose/CC,A. I. Seasonal Max Dose/CC,Max # Apps @ Max Rate / Unit of Time,Minimum Retreatment Interval,Rentry Interval,Application Method Type,Application Method Equipment,Application Method Timing,Incorporation Depth,Buffer Restriction,Disallowed Geo Areas,Allowable Geo Areas,Soil Factor,Percent Organic Matter
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,ID070006,11/18/2008,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Chemigation.,Sprinkler irrigation.,Foliar.,,,,Idaho,,
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,ID070006,11/18/2008,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Aircraft.,Foliar.,,,,Idaho,,
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,ID070006,11/18/2008,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Ground.,Foliar.,,,,Idaho,,
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,NV070003,4/12/2007,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Chemigation.,Sprinkler irrigation.,Foliar.,,,,Nevada,,
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,NV070003,4/12/2007,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Aircraft.,Foliar.,,,,Nevada,,
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,NV070003,4/12/2007,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Ground.,Foliar.,,,,Nevada,,
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,OR080031,9/10/2008,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Chemigation.,Sprinkler irrigation.,Foliar.,,,,Oregon,,
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,OR080031,9/10/2008,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Aircraft.,Foliar.,,,,Oregon,,
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,OR080031,9/10/2008,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Ground.,Foliar.,,,,Oregon,,
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,UT070003,10/16/2007,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Chemigation.,Sprinkler irrigation.,Foliar.,,,,Utah,,
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,UT070003,10/16/2007,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Aircraft.,Foliar.,,,,Utah,,
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,UT070003,10/16/2007,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Ground.,Foliar.,,,,Utah,,
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,WA070008,3/25/2008,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Chemigation.,Sprinkler irrigation.,Foliar.,,,,Washington,,
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,WA070008,3/25/2008,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Aircraft.,Foliar.,,,,Washington,,
Bifenazate,ALFALFA,TERRESTRIAL NON-FOOD,WA070008,3/25/2008,43.2,FlC,ACRAMITE-4SC,24 fl oz/ 1 a,.74925 lb / a,NS,NS,NS,NS,NS,1 / yr,NS,12 hr,Spray.,Ground.,Foliar.,,,,Washington,,
