"corn, all or unspecified",33.19
"     corn, field",27.04
"     corn, pop",27.04
"     corn, sweet",33.19
"cotton, all or unspecified",150
"     cotton, pima",13.33
rice,129
soybean,166.67
     soybean for edamame,104.5
"wheat, all or unspecified",157.1
"    wheat, winter",157
"    wheat, spring",156
"    wheat, hard red winter, dryland",120
"    wheat, hard red winter, irrigated",130
"    wheat, hard red winter, unspecified",130
"    wheat, soft red winter, all",157.1
"    wheat, hard red spring, dryland",120
"    wheat, hard red spring, irrigated",146
"    wheat, hard red spring, unspecified",146
"    wheat, white",156
"    wheat, durum",156
"hay or pasture, all or unspecified",116
perennial legume hay or pasture,35
    alfalfa,90
    birdsfoot trefoil,15
    lespedeza,35
"    clover, all or unspecified",30
"          clover, alsike",9
"          clover, arrowleaf",8
"          clover, berseem",20
"          clover, crimson",20
"          clover, kura",30
"          clover, red",6
"          clover, rose",11
"          clover, white",20
"     lupine, all or unspecified",160
"          lupine, blue",80
"          lupine, narrow leaf",150
"          lupine, white",160
"          lupine, yellow",71
   crown vetch,5
perennial grass hay or pasture,30
    festulolium,30
    Kentucky bluegrass,25
    orchard grass,10
    perennial ryegrass,10
    reed canary grass,24
    smooth brome,10
    Bermuda grass,16
    red fescue,8
    tall fescue,5
    timothy,15
    big bluestem,8
    eastern gama grass,12
    indian grass,9
    switch grass,12
annual grass for forage,116
    annual ryegrass,9
    pearl millet for forage,24
"    oats spring, for forage",20
"    rye, winter for forage",87
    sorghum for forage,109
    sudan grass for forage,24
    triticale for forage,23
"    winter wheat, for forage",109
    teff for forage,116
asparagus,10
barley,138.3
"beans, common or dry",140.01
"beans, lima",163.35
"beans, succulent, or green",213.53
"beets, garden",435.6
broccoli,25
brussels sprouts,0.44
buckwheat,0.15
cabbage,72
carrot,11.95
cauliflower,5.69
cilantro,0.18
collards,50
cucumber,11.62
dill weed,5.81
ginseng,8
kale for market,100
"lettuce, all or unspecifed",0.98
"     lettuce, head",0.78
"     lettuce, leaf, Bibb, Boston, or Romaine",0.39
"millet for feed, all or unspecified",71
"     millet for feed, browntop",71
"     millet for feed, finger",20
"     millet for feed, foxtail",10
"     millet for feed, Japanese",20
"     millet for feed, pearl",25
"     millet for feed, proso",15
"musk melon, all or unspecified",0.8
     canteloupe,0.8
     honeydew,0.8
     casaba,0.8
"     Canary, or Juan Canary",0.8
     Japanese,0.8
     Crenshaw,0.8
mustard greens,6
mustard seed,4
oats,7
"onions, all or unspecified",110
"     onions, bulb types except pearl",75
"     onions, pearl",110
     onions for seed,4.59
"     onions, bunching (spring or green)",75
parsley,40
"pea, field",217.8
"pea, garden",411
"pea, southern",275
peanut,228.26
"peppers, all",170
"     peppers, bell",170
"     peppers, hot (paprika, chili, etc)",4.18
potatoes,6969.6
"pumpkin, all",4.54
"     pumpkin, large or large vine",4.54
"     pumpkin, bush or small fruit/vine",4.54
"squash, all",8.01
"      squash, summer",6.1
"      squash, winter",3.8
"      squash, spagetti",3.78
radish,32.67
rape,30.63
canola,30.63
rutabaga,7.74
rye,2
safflower,90
sesame,35
sorghum,12
spinach,60.31
sugar beet for seed production,25
sugar beet,25
sunflower,1.82
turnip green,6.3
tomatoes,4
turnips,1.57
watermelon,9.08
